symbol	GSM2805414_Ad-LacZ.CEL
AC025442.3	4.39051514254265
AC064852.4	2.73454767877389
AC067956.1	2.4561018218042
AC068039.4	4.18886321578016
AC068138.1	4.74312457005934
AC068831.3	4.45429613657919
AC069277.2	2.3900334125817
AC073283.7	4.89507984215023
AC073321.4	3.81930779870933
AC074212.6	4.33019527912956
AC078842.4	2.95702656720714
AC078883.3	4.74312457005934
AC078883.4	4.74312457005934
AC079305.10	5.23812423899609
AC079741.2	2.4561018218042
AC079767.4	2.95702656720714
AC079807.4	3.50518532530405
AC083843.1	4.04023192690794
AC083949.1	4.18886321578016
AC084219.3	3.11064025994831
AC087501.1	2.73454767877389
AC090627.1	2.88170408475174
AC091133.1	5.5154549349024
AC091633.3	2.52361271094291
AC092155.4	2.20053923674618
AC092192.1	2.80751536351294
AC092620.2	2.73454767877389
AC092660.1	4.57548750294698
AC092667.2	2.88170408475174
AC099684.1	3.11064025994831
AC099850.1	2.88170408475174
AC100830.4	3.89589989630613
AC104537.2	2.59254649341595
AC104667.3	4.79542979977343
AC106801.1	5.69327027861458
AC108056.1	2.59254649341595
AC112198.1	3.26732057569154
AC114730.11	2.52361271094291
AC114752.3	2.66287249773403
AC124997.1	2.2622545976128
AC128677.4	6.38788339834241
AC136289.1	2.4561018218042
AC139100.2	5.74798423066086
AC139100.3	3.11064025994831
AC141928.1	4.00408550724475
AC144652.1	5.34845643159295
AC145343.2	3.74173351593308
ACAA1	8.5963919752003
ACAA2	6.14449975333244
ACACA	6.91664394928024
ACACB	4.54375393896475
ACAD10	4.79622717128527
ACAD11	6.31727201109934
ACAD8	6.66877478333816
ACAD9	7.15726838670133
ACADL	3.07284949621649
ACADM	8.64292617438668
ACADS	5.41759135608184
ACADSB	5.31429062914497
ACADVL	9.56365814307989
ACAN	4.87595063372783
ACAP1	4.11794509479741
ACAP2	5.27584495978125
ACAP3	5.306850361992
ACAT1	2.95702656720714
ACAT2	7.82490929087758
ACBD3	8.49141701309119
ACBD4	5.92462792363701
ACBD5	7.87791878735216
ACBD6	9.21126103126151
ACCS	6.71069938900086
ACD	6.64013252566576
ACE	6.65114317147449
ACE2	2.87559259943567
ACER1	4.89507984215023
ACER3	6.46608900260483
ACHE	4.689072800347
ACIN1	6.43866259588103
ACKR1	3.96529836585662
ACKR2	4.74312457005934
ACKR3	4.63321174135031
ACKR4	7.66350280098128
ACLY	8.62841720753758
ACMSD	2.4561018218042
ACN9	5.23812423899609
ACO1	4.87410564058368
ACO2	7.81068218442784
ACOT1	7.13691144724351
ACOT11	4.11712416178114
ACOT12	2.59254649341595
ACOT13	8.72704309756585
ACOT2	7.13691144724351
ACOT4	4.3253588596564
ACOT6	3.26732057569154
ACOT7	8.3685881021229
ACOT8	5.59494105181796
ACOT9	9.50331340698667
ACOX1	7.46550296626506
ACOX2	5.27584495978125
