probe_id	GSM2805414_Ad-LacZ.CEL
1007_s_at	8.04085445740028
1053_at	6.89660707268707
117_at	4.89585149092467
121_at	7.50731494042795
1255_g_at	3.26928213281264
1294_at	8.73105421559034
1316_at	4.92698909414028
1320_at	5.44755557026307
1405_i_at	7.77364165312243
1431_at	2.88170408475174
1438_at	5.07597371667078
1487_at	7.1864256295047
1494_f_at	6.13247352312853
1552256_a_at	9.03821180786717
1552257_a_at	6.95119410593022
1552258_at	5.38343770688919
1552261_at	4.3253588596564
1552263_at	7.85013824520798
1552264_a_at	8.98795244137739
1552266_at	2.80751536351294
1552269_at	2.3900334125817
1552271_at	5.34845643159295
1552272_a_at	5.03325790723623
1552274_at	6.56593569541571
1552275_s_at	6.51951404040605
1552276_a_at	6.20441910211997
1552277_a_at	9.17428213712604
1552278_a_at	3.74173351593308
1552279_a_at	5.63639924212702
1552280_at	3.74173351593308
1552281_at	6.37055190175868
1552283_s_at	3.11064025994831
1552286_at	5.07659632050245
1552287_s_at	6.92768586455395
1552288_at	2.88170408475174
1552289_a_at	3.74173351593308
1552291_at	5.60710032628528
1552293_at	4.45429613657919
1552295_a_at	8.50280089397355
1552296_at	3.74173351593308
1552299_at	5.41759135608184
1552301_a_at	3.97131775791213
1552302_at	5.38343770688919
1552303_a_at	5.99417754353048
1552304_at	3.58446016061881
1552306_at	4.04538510778212
1552307_a_at	3.58446016061881
1552309_a_at	7.7261652066901
1552310_at	7.41567610052216
1552311_a_at	5.48356555846598
1552312_a_at	7.69168928590917
1552314_a_at	3.97131775791213
1552315_at	7.83125801127732
1552316_a_at	8.84153990607135
1552318_at	7.97006117400218
1552319_a_at	3.89589989630613
1552320_a_at	2.95702656720714
1552321_a_at	2.32541726541788
1552322_at	2.73454767877389
1552323_s_at	5.69327027861458
1552325_at	2.2622545976128
1552326_a_at	3.03337894032123
1552327_at	2.88170408475174
1552329_at	5.74798423066086
1552330_at	6.48771509787103
1552332_at	7.01950430945989
1552334_at	5.57719405048152
1552335_at	5.27584495978125
1552337_s_at	6.66877478333816
1552338_at	4.3253588596564
1552340_at	4.51585802206809
1552343_s_at	3.03337894032123
1552344_s_at	8.4746884282168
1552347_at	6.66877478333816
1552348_at	5.34845643159295
1552349_a_at	4.39079260185657
1552354_at	4.689072800347
1552355_s_at	4.98860652264438
1552359_at	2.3900334125817
1552360_a_at	3.81930779870933
1552362_a_at	4.11794509479741
1552364_s_at	5.45095545100829
1552365_at	3.18867242522585
1552367_a_at	2.80751536351294
1552368_at	2.4561018218042
1552370_at	6.58108347517541
1552372_at	1.91306898530677
1552373_s_at	2.4561018218042
1552375_at	4.18886321578016
1552377_s_at	6.82962416014757
1552378_s_at	4.3253588596564
1552379_at	2.2622545976128
1552381_at	2.4561018218042
1552383_at	5.74798423066086
1552384_a_at	4.3253588596564
1552386_at	2.73454767877389
1552388_at	5.72088661571006
1552389_at	2.32541726541788
1552390_a_at	2.52361271094291
1552391_at	3.58446016061881
1552393_at	2.2622545976128
1552394_a_at	2.95702656720714
1552395_at	6.71069938900086
1552396_at	3.74173351593308
1552398_a_at	2.80751536351294
1552399_a_at	4.39079260185657
1552400_a_at	4.63321174135031
1552401_a_at	2.66287249773403
1552402_at	3.58446016061881
1552405_at	3.58446016061881
1552408_at	3.26732057569154
1552409_a_at	5.60710032628528
1552410_at	5.11868952610534
1552411_at	5.9006791386137
1552412_a_at	3.34641404535109
1552414_at	3.81930779870933
1552415_a_at	3.50518532530405
1552417_a_at	6.14449975333244
1552418_at	4.04538510778212
1552419_s_at	4.94257148167468
1552421_a_at	3.18867242522585
1552422_at	5.41759135608184
1552423_at	4.45429613657919
1552424_at	2.80751536351294
1552425_a_at	4.18886321578016
1552426_a_at	9.62157980535013
1552427_at	2.2622545976128
1552430_at	2.20053923674618
1552432_at	4.689072800347
1552436_a_at	3.74173351593308
1552438_a_at	2.95702656720714
1552439_s_at	2.80751536351294
1552440_at	2.52361271094291
1552445_a_at	2.80751536351294
1552448_a_at	3.03337894032123
1552449_a_at	2.80751536351294
1552450_a_at	5.19939444352561
1552452_at	3.50518532530405
1552453_a_at	2.95702656720714
1552455_at	2.4561018218042
1552456_a_at	3.34641404535109
1552457_a_at	5.41759135608184
1552458_at	3.18867242522585
1552459_a_at	4.51585802206809
1552461_at	2.4561018218042
1552463_at	3.42576793345345
1552466_x_at	2.20053923674618
1552467_at	4.51585802206809
1552468_a_at	5.41759135608184
1552470_a_at	4.04538510778212
1552472_a_at	5.27584495978125
1552473_at	7.71933561703727
1552474_a_at	7.18727514136415
1552476_s_at	5.85155487228707
1552477_a_at	6.03874844664715
1552478_a_at	3.89589989630613
1552480_s_at	2.08139527620818
1552481_s_at	5.72088661571006
1552482_at	2.95702656720714
1552484_at	5.74798423066086
1552485_at	6.75143999486093
1552486_s_at	7.26436967144877
1552487_a_at	5.07659632050245
